DataPoint,Cycle Index,Step Index,Step started to end the identification ,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mΩ),Module start-stop switch,SOC/DOD(%),LgD
1,1,1,0,CCCV Chg,00:00:00,00:00:00,50.0055,53.0008,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2024-07-01 12:47:54,2650.3331,0.0,0.0,0.00,Close,0.00,
2,1,1,,CCCV Chg,00:00:30,00:00:30,49.9968,53.7745,0.4167,416663.42,0.4167,416663.42,0.0000,0.00,22.3246,22324589.51,22.3246,22324589.51,0.0000,0.00,2024-07-01 12:48:24,2688.5535,538.5,538533.6,0.00,Close,0.54,
3,1,1,,CCCV Chg,00:01:00,00:01:00,49.9992,53.9295,0.8333,833327.47,0.8333,833327.47,0.0000,0.00,44.7680,44768008.53,44.7680,44768008.53,0.0000,0.00,2024-07-01 12:48:54,2696.4324,2688.2,2688155.1,0.00,Close,1.08,
4,1,1,,CCCV Chg,00:01:30,00:01:30,50.0019,53.9953,1.2500,1249989.69,1.2500,1249989.69,0.0000,0.00,67.2539,67253930.67,67.2539,67253930.67,0.0000,0.00,2024-07-01 12:49:24,2699.8649,6332.3,6332252.6,0.00,Close,1.62,
5,1,1,,CCCV Chg,00:02:00,00:02:00,50.0011,54.0257,1.6667,1666654.58,1.6667,1666654.58,0.0000,0.00,89.7591,89759084.09,89.7591,89759084.09,0.0000,0.00,2024-07-01 12:49:54,2701.3433,13706.1,13706081.9,0.00,Close,2.16,
6,1,1,,CCCV Chg,00:02:30,00:02:30,49.9983,54.0480,2.0833,2083317.69,2.0833,2083317.69,0.0000,0.00,112.2750,112274989.51,112.2750,112274989.51,0.0000,0.00,2024-07-01 12:50:24,2702.3087,18684.4,18684444.4,0.00,Close,2.70,
7,1,1,,CCCV Chg,00:03:00,00:03:00,50.0055,54.0660,2.5000,2499983.11,2.5000,2499983.11,0.0000,0.00,134.7985,134798529.42,134.7985,134798529.42,0.0000,0.00,2024-07-01 12:50:54,2703.5952,23148.1,23148079.0,0.00,Close,3.24,
8,1,1,,CCCV Chg,00:03:30,00:03:30,49.9908,54.0792,2.9166,2916645.51,2.9166,2916645.51,0.0000,0.00,157.3281,157328054.04,157.3281,157328054.04,0.0000,0.00,2024-07-01 12:51:24,2703.4614,31565.3,31565333.3,0.00,Close,3.78,
9,1,1,,CCCV Chg,00:04:00,00:04:00,50.0000,54.0881,3.3333,3333309.16,3.3333,3333309.16,0.0000,0.00,179.8629,179862857.96,179.8629,179862857.96,0.0000,0.00,2024-07-01 12:51:54,2704.4028,46816.1,46816139.8,0.00,Close,4.32,
10,1,1,,CCCV Chg,00:04:30,00:04:30,49.9986,54.1006,3.7500,3749974.04,3.7500,3749974.04,0.0000,0.00,202.4020,202402019.56,202.4020,202402019.56,0.0000,0.00,2024-07-01 12:52:24,2704.9543,33333.2,33333191.1,0.00,Close,4.87,
