DataPoint,Cycle Index,Step Index,Step started to end the identification ,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Date,Power(W),dQ/dV(mAh/V),dQm/dV(mAh/V.g),Contact resistance(mΩ),Module start-stop switch,SOC/DOD(%),LgD
1,1,1,0,CCCV Chg,00:00:00,00:00:00,50.0155,52.9729,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,2024-07-02 09:13:27,2649.4640,0.0,0.0,0.00,Close,0.00,
2,1,1,,CCCV Chg,00:00:30,00:00:30,50.0048,53.8351,0.4167,416664.84,0.4167,416664.84,0.0000,0.00,22.3489,22348893.87,22.3489,22348893.87,0.0000,0.00,2024-07-02 09:13:57,2692.0150,483.3,483257.8,0.00,Close,0.53,
3,1,1,,CCCV Chg,00:01:00,00:01:00,50.0011,53.9929,0.8333,833331.91,0.8333,833331.91,0.0000,0.00,44.8179,44817894.40,44.8179,44817894.40,0.0000,0.00,2024-07-02 09:14:27,2699.7049,2640.5,2640475.7,0.00,Close,1.06,
4,1,1,,CCCV Chg,00:01:30,00:01:30,49.9971,54.0602,1.2500,1249999.73,1.2500,1249999.73,0.0000,0.00,67.3303,67330321.07,67.3303,67330321.07,0.0000,0.00,2024-07-02 09:14:57,2702.8543,6191.2,6191200.9,0.00,Close,1.59,
5,1,1,,CCCV Chg,00:02:00,00:02:00,50.0020,54.0900,1.6667,1666663.82,1.6667,1666663.82,0.0000,0.00,89.8623,89862274.84,89.8623,89862274.84,0.0000,0.00,2024-07-02 09:15:27,2704.6093,13982.0,13982016.4,0.00,Close,2.12,
6,1,1,,CCCV Chg,00:02:30,00:02:30,50.0003,54.1118,2.0833,2083328.53,2.0833,2083328.53,0.0000,0.00,112.4046,112404627.91,112.4046,112404627.91,0.0000,0.00,2024-07-02 09:15:57,2705.6062,19113.1,19113060.1,0.00,Close,2.65,
7,1,1,,CCCV Chg,00:03:00,00:03:00,49.9984,54.1271,2.5000,2499994.49,2.5000,2499994.49,0.0000,0.00,134.9542,134954177.42,134.9542,134954177.42,0.0000,0.00,2024-07-02 09:16:27,2706.2668,27233.1,27233069.0,0.00,Close,3.18,
8,1,1,,CCCV Chg,00:03:30,00:03:30,50.0023,54.1378,2.9167,2916660.27,2.9167,2916660.27,0.0000,0.00,157.5093,157509336.18,157.5093,157509336.18,0.0000,0.00,2024-07-02 09:16:57,2707.0161,38940.7,38940726.9,0.00,Close,3.71,
9,1,1,,CCCV Chg,00:04:00,00:04:00,50.0028,54.1510,3.3333,3333323.38,3.3333,3333323.38,0.0000,0.00,180.0696,180069637.69,180.0696,180069637.69,0.0000,0.00,2024-07-02 09:17:27,2707.7022,31565.4,31565387.2,0.00,Close,4.25,
10,1,1,,CCCV Chg,00:04:30,00:04:30,50.0018,54.1604,3.7500,3749988.27,3.7500,3749988.27,0.0000,0.00,202.6345,202634513.07,202.6345,202634513.07,0.0000,0.00,2024-07-02 09:17:57,2708.1175,44326.1,44326052.0,0.00,Close,4.78,
11,1,1,,CCCV Chg,00:05:00,00:05:00,50.0016,54.1697,4.1667,4166653.51,4.1667,4166653.51,0.0000,0.00,225.2029,225202858.67,225.2029,225202858.67,0.0000,0.00,2024-07-02 09:18:27,2708.5722,44802.7,44802714.5,0.00,Close,5.31,
12,1,1,,CCCV Chg,00:05:30,00:05:30,50.0001,54.1760,4.5833,4583318.76,4.5833,4583318.76,0.0000,0.00,247.7745,247774549.33,247.7745,247774549.33,0.0000,0.00,2024-07-02 09:18:57,2708.8054,66137.3,66137340.4,0.00,Close,5.84,
13,1,1,,CCCV Chg,00:06:00,00:06:00,49.9995,54.1828,5.0000,4999985.07,5.0000,4999985.07,0.0000,0.00,270.3493,270349266.49,270.3493,270349266.49,0.0000,0.00,2024-07-02 09:19:27,2709.1151,61274.5,61274457.5,0.00,Close,6.37,
14,1,1,,CCCV Chg,00:06:30,00:06:30,50.0025,54.1879,5.4166,5416647.11,5.4166,5416647.11,0.0000,0.00,292.9265,292926486.76,292.9265,292926486.76,0.0000,0.00,2024-07-02 09:19:57,2709.5321,81698.4,81698440.1,0.00,Close,6.90,
15,1,1,,CCCV Chg,00:07:00,00:07:00,49.9949,54.1958,5.8333,5833309.51,5.8333,5833309.51,0.0000,0.00,315.5061,315506050.84,315.5061,315506050.84,0.0000,0.00,2024-07-02 09:20:27,2709.5114,52742.1,52742075.9,0.00,Close,7.43,
16,1,1,,CCCV Chg,00:07:30,00:07:30,50.0001,54.1980,6.2500,6249978.31,6.2500,6249978.31,0.0000,0.00,338.0879,338087890.49,338.0879,338087890.49,0.0000,0.00,2024-07-02 09:20:57,2709.9043,189394.9,189394909.1,0.00,Close,7.96,
17,1,1,,CCCV Chg,00:08:00,00:08:00,50.0030,54.2004,6.6666,6666645.33,6.6666,6666645.33,0.0000,0.00,360.6713,360671323.02,360.6713,360671323.02,0.0000,0.00,2024-07-02 09:21:27,2710.1826,173611.3,173611259.3,0.00,Close,8.49,
18,1,1,,CCCV Chg,00:08:30,00:08:30,50.0003,54.2019,7.0833,7083310.22,7.0833,7083310.22,0.0000,0.00,383.2552,383255165.16,383.2552,383255165.16,0.0000,0.00,2024-07-02 09:21:57,2710.1107,277776.6,277776592.6,0.00,Close,9.02,
19,1,1,,CCCV Chg,00:09:00,00:09:00,49.9973,54.2032,7.5000,7499972.98,7.5000,7499972.98,0.0000,0.00,405.8396,405839598.93,405.8396,405839598.93,0.0000,0.00,2024-07-02 09:22:27,2710.0115,320509.8,320509812.0,0.00,Close,9.55,
20,1,1,,CCCV Chg,00:09:30,00:09:30,50.0025,54.2060,7.9166,7916637.16,7.9166,7916637.16,0.0000,0.00,428.4254,428425443.56,428.4254,428425443.56,0.0000,0.00,2024-07-02 09:22:57,2710.4350,148808.6,148808634.9,0.00,Close,10.08,
21,1,1,,CCCV Chg,00:10:00,00:10:00,50.0006,54.2089,8.3333,8333303.47,8.3333,8333303.47,0.0000,0.00,451.0117,451011652.27,451.0117,451011652.27,0.0000,0.00,2024-07-02 09:23:27,2710.4792,143678.0,143678038.3,0.00,Close,10.61,
22,1,1,,CCCV Chg,00:10:30,00:10:30,50.0003,54.2093,8.7500,8749965.51,8.7500,8749965.51,0.0000,0.00,473.5984,473598407.11,473.5984,473598407.11,0.0000,0.00,2024-07-02 09:23:57,2710.4791,1041655.1,1041655111.1,0.00,Close,11.14,
23,1,1,,CCCV Chg,00:11:00,00:11:00,49.9977,54.2114,9.1666,9166629.69,9.1666,9166629.69,0.0000,0.00,496.1859,496185935.64,496.1859,496185935.64,0.0000,0.00,2024-07-02 09:24:27,2710.4453,198411.5,198411513.2,0.00,Close,11.68,
24,1,1,,CCCV Chg,00:11:30,00:11:30,49.9983,54.2126,9.5833,9583295.29,9.5833,9583295.29,0.0000,0.00,518.7742,518774237.87,518.7742,518774237.87,0.0000,0.00,2024-07-02 09:24:57,2710.5357,347221.3,347221333.3,0.00,Close,12.21,
25,1,1,,CCCV Chg,00:12:00,00:12:00,50.0016,54.2127,10.0000,9999962.31,10.0000,9999962.31,0.0000,0.00,541.3631,541363086.22,541.3631,541363086.22,0.0000,0.00,2024-07-02 09:25:27,2710.7207,4166670.2,4166670222.4,0.00,Close,12.74,
26,1,1,,CCCV Chg,00:12:30,00:12:30,50.0005,54.2155,10.4166,10416626.49,10.4166,10416626.49,0.0000,0.00,563.9519,563951889.07,563.9519,563951889.07,0.0000,0.00,2024-07-02 09:25:57,2710.8043,148808.6,148808634.9,0.00,Close,13.27,
27,1,1,,CCCV Chg,00:13:00,00:13:00,50.0005,54.2153,10.8333,10833291.38,10.8333,10833291.38,0.0000,0.00,586.5412,586541192.53,586.5412,586541192.53,0.0000,0.00,2024-07-02 09:26:27,2710.7932,-2083324.4,-2083324444.4,0.00,Close,13.80,
28,1,1,,CCCV Chg,00:13:30,00:13:30,50.0034,54.2156,11.2500,11249955.56,11.2500,11249955.56,0.0000,0.00,609.1305,609130541.51,609.1305,609130541.51,0.0000,0.00,2024-07-02 09:26:57,2710.9670,1388880.6,1388880592.6,0.00,Close,14.33,
29,1,1,,CCCV Chg,00:14:00,00:14:00,49.9986,54.2159,11.6666,11666621.16,11.6666,11666621.16,0.0000,0.00,631.7201,631720118.04,631.7201,631720118.04,0.0000,0.00,2024-07-02 09:27:27,2710.7164,1388885.3,1388885333.4,0.00,Close,14.86,
30,1,1,,CCCV Chg,00:14:30,00:14:30,50.0001,54.2171,12.0833,12083283.91,12.0833,12083283.91,0.0000,0.00,654.3102,654310240.71,654.3102,654310240.71,0.0000,0.00,2024-07-02 09:27:57,2710.8588,347219.0,347218963.0,0.00,Close,15.39,
31,1,1,,CCCV Chg,00:15:00,00:15:00,49.9994,54.2138,12.4999,12499949.51,12.4999,12499949.51,0.0000,0.00,676.9003,676900272.36,676.9003,676900272.36,0.0000,0.00,2024-07-02 09:28:27,2710.6558,-126262.3,-126262303.0,0.00,Close,15.92,
32,1,1,,CCCV Chg,00:15:30,00:15:30,49.9982,54.2174,12.9166,12916612.27,12.9166,12916612.27,0.0000,0.00,699.4901,699490121.96,699.4901,699490121.96,0.0000,0.00,2024-07-02 09:28:57,2710.7730,115739.7,115739654.3,0.00,Close,16.45,
33,1,1,,CCCV Chg,00:16:00,00:16:00,50.0006,54.2174,13.3333,13333277.87,13.3333,13333277.87,0.0000,0.00,722.0807,722080699.73,722.0807,722080699.73,0.0000,0.00,2024-07-02 09:29:27,2710.9009,0.0,0.0,0.00,Close,16.98,
34,1,1,,CCCV Chg,00:16:30,00:16:30,49.9982,54.2162,13.7499,13749940.62,13.7499,13749940.62,0.0000,0.00,744.6711,744671140.98,744.6711,744671140.98,0.0000,0.00,2024-07-02 09:29:57,2710.7113,-347219.0,-347218963.0,0.00,Close,17.51,
35,1,1,,CCCV Chg,00:17:00,00:17:00,50.0009,54.2183,14.1666,14166606.22,14.1666,14166606.22,0.0000,0.00,767.2618,767261809.78,767.2618,767261809.78,0.0000,0.00,2024-07-02 09:30:27,2710.9665,198412.2,198412190.5,0.00,Close,18.04,
36,1,1,,CCCV Chg,00:17:30,00:17:30,49.9982,54.2176,14.5833,14583270.40,14.5833,14583270.40,0.0000,0.00,789.8527,789852706.13,789.8527,789852706.13,0.0000,0.00,2024-07-02 09:30:57,2710.7830,-595234.5,-595234539.7,0.00,Close,18.57,
37,1,1,,CCCV Chg,00:18:00,00:18:00,50.0006,54.2199,14.9999,14999936.00,14.9999,14999936.00,0.0000,0.00,812.4440,812443966.58,812.4440,812443966.58,0.0000,0.00,2024-07-02 09:31:27,2711.0254,181159.0,181158956.5,0.00,Close,19.11,
38,1,1,,CCCV Chg,00:18:30,00:18:30,49.9971,54.2198,15.4166,15416601.60,15.4166,15416601.60,0.0000,0.00,835.0358,835035773.16,835.0358,835035773.16,0.0000,0.00,2024-07-02 09:31:57,2710.8306,-4166656.0,-4166655999.9,0.00,Close,19.64,
39,1,1,,CCCV Chg,00:19:00,00:19:00,49.9993,54.2236,15.8333,15833267.20,15.8333,15833267.20,0.0000,0.00,857.6278,857627761.78,857.6278,857627761.78,0.0000,0.00,2024-07-02 09:32:27,2711.1431,109648.8,109648842.1,0.00,Close,20.17,
