,ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
1062,1759322261.0,2025-10-01T18:07:41+05:30,0.6385,53.33,d2,2025-10-01 18:07:41+05:30,17.21490652434331,-0.014913144790972641,1,Rapid current change: 0.557A/sample,medium,0,,normal,medium,0,0,0,0,1,1
1063,1759322262.0,2025-10-01T18:07:42+05:30,0.0045,58.33,d2,2025-10-01 18:07:42+05:30,27.37283710651236,-0.014904316506904521,1,Rapid current change: 0.634A/sample,medium,0,,normal,medium,0,0,0,0,1,1
1064,1759322263.0,2025-10-01T18:07:43+05:30,1.0315,53.33,d2,2025-10-01 18:07:43+05:30,11175.972059435728,-0.005215039729495723,1,Rapid current change: 1.027A/sample,medium,0,,normal,medium,0,1,1,0,1,1
1065,1759322264.0,2025-10-01T18:07:44+05:30,0.1405,53.33,d2,2025-10-01 18:07:44+05:30,31.34723276408871,-0.014900862349231325,1,Rapid current change: 0.891A/sample,medium,0,,normal,medium,0,0,0,0,1,1
1113,1759322312.0,2025-10-01T18:08:32+05:30,0.0585,53.33,d2,2025-10-01 18:08:32+05:30,29.632442487937272,-0.01490235267795061,1,Rapid current change: 0.748A/sample,medium,0,,normal,medium,0,0,0,0,1,1
1114,1759322313.0,2025-10-01T18:08:33+05:30,1.0535,53.33,d2,2025-10-01 18:08:33+05:30,65.95012227737426,-0.014870788887345564,1,Rapid current change: 0.995A/sample,medium,0,,normal,medium,0,1,1,0,1,1
1115,1759322314.0,2025-10-01T18:08:34+05:30,0.4735,53.33,d2,2025-10-01 18:08:34+05:30,23.701161122732675,-0.01490750757011653,1,Rapid current change: 0.580A/sample,medium,0,,normal,medium,0,0,0,0,1,1
1167,1759322366.0,2025-10-01T18:09:26+05:30,1.2225,53.33,d2,2025-10-01 18:09:26+05:30,14.587249932918615,-0.014915428494196924,1,High charge: 1.222A; Rapid current change: 0.833A/sample,high,0,,normal,high,0,0,0,0,1,1
1168,1759322367.0,2025-10-01T18:09:27+05:30,1.2875,53.33,d2,2025-10-01 18:09:27+05:30,15.397384894771683,-0.014914724403780192,1,High charge: 1.288A,high,0,,normal,high,0,0,0,0,1,1
1169,1759322368.0,2025-10-01T18:09:28+05:30,0.5275,53.33,d2,2025-10-01 18:09:28+05:30,28.91333277428357,-0.01490297765808578,1,Rapid current change: 0.760A/sample,medium,0,,normal,medium,0,0,0,0,1,1
