,ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
8106,1759494900.0,2025-10-03T18:05:00+05:30,0.8449,68.89,d3,2025-10-03 18:05:00+05:30,50.40632449147529,-0.014884298042703666,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
8149,1759494943.0,2025-10-03T18:05:43+05:30,0.4219,68.89,d3,2025-10-03 18:05:43+05:30,44.63510409209869,-0.014889313825465055,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
8152,1759494946.0,2025-10-03T18:05:46+05:30,0.7999,68.89,d3,2025-10-03 18:05:46+05:30,51.21806838114106,-0.014883592553963557,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
13717,1758891476.0,2025-09-26T12:57:56+05:30,88.140152,53.33,d5,2025-09-26 12:57:56+05:30,136979.85523420208,0.10412144456278336,1,Excessive charge: 88.140A (threshold: 52.976A); Rapid current change: 87.913A/sample,critical,0,,normal,critical,0,1,1,0,1,1
15698,1760421791.0,2025-10-14T11:33:11+05:30,0.1533,68.89,d6,2025-10-14 11:33:11+05:30,48.200185360747916,-0.014886215403999092,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15786,1760421880.0,2025-10-14T11:34:40+05:30,0.1123,68.89,d6,2025-10-14 11:34:40+05:30,49.74935792815121,-0.01488486901406416,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15788,1760421882.0,2025-10-14T11:34:42+05:30,0.1023,68.89,d6,2025-10-14 11:34:42+05:30,48.99870028327198,-0.014885521412588967,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15807,1760421901.0,2025-10-14T11:35:01+05:30,0.1443,68.89,d6,2025-10-14 11:35:01+05:30,47.92987639924942,-0.014886450330225351,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15813,1760421907.0,2025-10-14T11:35:07+05:30,0.1273,69.44,d6,2025-10-14 11:35:07+05:30,51.66881094110531,-0.014883200812424398,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15814,1760421908.0,2025-10-14T11:35:08+05:30,0.1313,68.89,d6,2025-10-14 11:35:08+05:30,38.03374805656859,-0.014895051081281585,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15881,1760421975.0,2025-10-14T11:36:15+05:30,0.1523,69.44,d6,2025-10-14 11:36:15+05:30,51.58398995840122,-0.014883274530562571,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15882,1760421976.0,2025-10-14T11:36:16+05:30,0.0803,69.44,d6,2025-10-14 11:36:16+05:30,41.82905227249405,-0.014891752572449292,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15888,1760421982.0,2025-10-14T11:36:22+05:30,0.0983,68.89,d6,2025-10-14 11:36:22+05:30,49.34864606714888,-0.014885217273791844,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15889,1760421983.0,2025-10-14T11:36:23+05:30,0.1973,68.89,d6,2025-10-14 11:36:23+05:30,36.57582997711338,-0.014896318161702086,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15890,1760421984.0,2025-10-14T11:36:24+05:30,0.2083,68.89,d6,2025-10-14 11:36:24+05:30,37.81589508164527,-0.014895240417872551,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15902,1760421996.0,2025-10-14T11:36:36+05:30,0.1053,68.89,d6,2025-10-14 11:36:36+05:30,49.36587157304826,-0.01488520230305956,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15911,1760422005.0,2025-10-14T11:36:45+05:30,0.1733,69.44,d6,2025-10-14 11:36:45+05:30,50.35912236548069,-0.014884339066194971,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15912,1760422006.0,2025-10-14T11:36:46+05:30,0.1733,68.89,d6,2025-10-14 11:36:46+05:30,38.044369567709566,-0.014895041850098439,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15914,1760422008.0,2025-10-14T11:36:48+05:30,0.1403,68.89,d6,2025-10-14 11:36:48+05:30,38.42583853221622,-0.014894710314422487,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15919,1760422013.0,2025-10-14T11:36:53+05:30,0.1643,68.89,d6,2025-10-14 11:36:53+05:30,47.45082534718624,-0.014886866674749121,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15921,1760422015.0,2025-10-14T11:36:55+05:30,0.0913,69.44,d6,2025-10-14 11:36:55+05:30,51.98863029258003,-0.014882922856588562,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15922,1760422016.0,2025-10-14T11:36:56+05:30,0.1113,69.44,d6,2025-10-14 11:36:56+05:30,40.12052324700263,-0.014893237459499232,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15937,1760422031.0,2025-10-14T11:37:11+05:30,0.0913,69.44,d6,2025-10-14 11:37:11+05:30,52.10009847217824,-0.014882825979301788,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15938,1760422032.0,2025-10-14T11:37:12+05:30,0.1043,70.0,d6,2025-10-14 11:37:12+05:30,42.34443751335819,-0.014891304649786889,0,,normal,1,Critical high temp: 70.00°C (threshold: 68.40°C),critical,critical,0,0,0,0,1,1
15940,1760422034.0,2025-10-14T11:37:14+05:30,0.0913,69.44,d6,2025-10-14 11:37:14+05:30,52.14169404306573,-0.01488278982848221,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
15944,1760422038.0,2025-10-14T11:37:18+05:30,0.0903,68.89,d6,2025-10-14 11:37:18+05:30,49.00342611963617,-0.014885517305352206,0,,normal,1,Critical high temp: 68.89°C (threshold: 68.40°C); Rapid temp change: 15.56°C/sample,critical,critical,0,0,0,0,1,1
15946,1760422040.0,2025-10-14T11:37:20+05:30,0.1513,69.44,d6,2025-10-14 11:37:20+05:30,51.00482885668442,-0.014883777880992644,0,,normal,1,Critical high temp: 69.44°C (threshold: 68.40°C); Rapid temp change: 16.11°C/sample,critical,critical,0,0,0,0,1,1
