"ts","current","datetime","temperature"
"1760008619","'-4.218949","2025-10-09T16:46:59+05:30","53.33"
"1760357199","0.09795","2025-10-13T17:36:39+05:30","57.78"
"1760003027","4.75595","2025-10-09T15:13:47+05:30","53.33"
"1760009278","'-4.241949","2025-10-09T16:57:58+05:30","53.33"
"1760002983","4.60595","2025-10-09T15:13:03+05:30","53.33"
"1760002596","'-0.0144","2025-10-09T15:06:36+05:30","53.33"
"1760009184","'-4.182949","2025-10-09T16:56:24+05:30","62.22"
"1760356724","'-0.02305","2025-10-13T17:28:44+05:30","55.56"
"1760003095","4.62195","2025-10-09T15:14:55+05:30","53.33"
"1760002278","0.1776","2025-10-09T15:01:18+05:30","51.11"
"1760357363","'-0.00105","2025-10-13T17:39:23+05:30","53.33"
"1760002615","0.0336","2025-10-09T15:06:55+05:30","53.33"
"1760357304","0.04695","2025-10-13T17:38:24+05:30","57.22"
"1760003147","4.70995","2025-10-09T15:15:47+05:30","53.33"
"1760002328","0.0576","2025-10-09T15:02:08+05:30","53.33"
"1760008881","'-4.275949","2025-10-09T16:51:21+05:30","53.33"
"1760356970","0.09095","2025-10-13T17:32:50+05:30","53.33"
"1760008812","'-4.268949","2025-10-09T16:50:12+05:30","61.11"
"1760356821","0.11095","2025-10-13T17:30:21+05:30","53.33"
"1760008991","'-4.145949","2025-10-09T16:53:11+05:30","62.22"
"1760357129","'-0.00105","2025-10-13T17:35:29+05:30","57.22"
"1760002243","0.1276","2025-10-09T15:00:43+05:30","50.56"
"1760002250","0.1196","2025-10-09T15:00:50+05:30","53.33"
"1760356739","0.02895","2025-10-13T17:28:59+05:30","55.56"
"1760009328","'-4.148949","2025-10-09T16:58:48+05:30","53.33"
"7","0.04545","1970-01-01T00:00:07+05:30","53.33"
"1760008782","'-4.239949","2025-10-09T16:49:42+05:30","53.33"
"1760009505","'-4.235949","2025-10-09T17:01:45+05:30","53.33"
"1760357382","0.08895","2025-10-13T17:39:42+05:30","53.33"
"1760002984","4.56195","2025-10-09T15:13:04+05:30","54.44"
"1760009299","'-4.211949","2025-10-09T16:58:19+05:30","53.33"
"1760357166","'-0.04805","2025-10-13T17:36:06+05:30","53.33"
"115","0.07795","1970-01-01T05:31:55+05:30","53.33"
"1760008909","'-4.211949","2025-10-09T16:51:49+05:30","61.11"
"1760008677","'-4.192949","2025-10-09T16:47:57+05:30","53.33"
"1760357132","'-0.03805","2025-10-13T17:35:32+05:30","53.33"
"1760357265","0.09695","2025-10-13T17:37:45+05:30","53.33"
"1760008546","'-4.117949","2025-10-09T16:45:46+05:30","53.33"
"1760356738","'-0.04305","2025-10-13T17:28:58+05:30","53.33"
"1760008932","'-4.217949","2025-10-09T16:52:12+05:30","53.33"
"1760008946","'-4.118949","2025-10-09T16:52:26+05:30","53.33"
"1760009291","'-4.280949","2025-10-09T16:58:11+05:30","53.33"
"1760002554","0.1026","2025-10-09T15:05:54+05:30","53.33"
"1760009338","'-4.238949","2025-10-09T16:58:58+05:30","53.33"
"1760009166","'-4.189949","2025-10-09T16:56:06+05:30","53.33"
"1760009402","'-4.164949","2025-10-09T17:00:02+05:30","62.78"
"1760356953","'-0.01705","2025-10-13T17:32:33+05:30","53.33"
"1760002340","0.0906","2025-10-09T15:02:20+05:30","53.33"
"1760357096","0.10495","2025-10-13T17:34:56+05:30","53.33"
"1760002489","0.1356","2025-10-09T15:04:49+05:30","53.33"
"1760002222","0.0176","2025-10-09T15:00:22+05:30","50.56"
"1760002496","'-0.0044","2025-10-09T15:04:56+05:30","53.33"
"1760009160","'-4.248949","2025-10-09T16:56:00+05:30","61.11"
"1760009237","'-4.287949","2025-10-09T16:57:17+05:30","53.33"
"1760003189","4.69095","2025-10-09T15:16:29+05:30","53.33"
"1760008818","'-4.196949","2025-10-09T16:50:18+05:30","53.33"
"1760356759","0.07395","2025-10-13T17:29:19+05:30","55.56"
"1760008686","'-4.250949","2025-10-09T16:48:06+05:30","60"
"1760003004","4.53495","2025-10-09T15:13:24+05:30","55.56"
"1760002911","0.13395","2025-10-09T15:11:51+05:30","53.33"
"1760357347","0.05095","2025-10-13T17:39:07+05:30","53.33"
"1760002374","'-0.0294","2025-10-09T15:02:54+05:30","52.22"
"1760009148","'-4.290949","2025-10-09T16:55:48+05:30","62.22"
"1760002291","'-0.0414","2025-10-09T15:01:31+05:30","51.67"
