ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
1762866720.0,2025-11-11T18:42:00+05:30,0.0162,53.33,device2,2025-11-11 18:42:00+05:30,14.39237996937633,-0.014915597856192519,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866733.0,2025-11-11T18:42:13+05:30,0.0062,53.33,device2,2025-11-11 18:42:13+05:30,14.720520868950196,-0.01491531266807744,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866748.0,2025-11-11T18:42:28+05:30,0.0012,53.33,device2,2025-11-11 18:42:28+05:30,14.174356723663662,-0.014915787340766276,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866789.0,2025-11-11T18:43:09+05:30,0.0182,53.33,device2,2025-11-11 18:43:09+05:30,44.860707781253616,-0.014889117752708056,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866807.0,2025-11-11T18:43:27+05:30,0.3842,53.33,device2,2025-11-11 18:43:27+05:30,82.24881939862674,-0.014856623646998359,0,,normal,0,,normal,normal,0,1,0,0,0,0
1762866813.0,2025-11-11T18:43:33+05:30,0.0,53.33,device2,2025-11-11 18:43:33+05:30,18.593084449311505,-0.014911947012929208,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866814.0,2025-11-11T18:43:34+05:30,0.0682,53.33,device2,2025-11-11 18:43:34+05:30,13.579795893195307,-0.01491630407514093,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866823.0,2025-11-11T18:43:43+05:30,0.1532,53.33,device2,2025-11-11 18:43:43+05:30,12.209393387356164,-0.014917495095547236,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866930.0,2025-11-11T18:45:30+05:30,0.0112,53.33,device2,2025-11-11 18:45:30+05:30,16.53003970711412,-0.014913740010516858,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762866967.0,2025-11-11T18:46:07+05:30,0.7232,53.33,device2,2025-11-11 18:46:07+05:30,841.195613030296,-0.014197021001304917,1,Rapid current change: 0.712A/sample,medium,0,,normal,medium,0,1,1,0,1,0
1762866991.0,2025-11-11T18:46:31+05:30,0.0,53.33,device2,2025-11-11 18:46:31+05:30,26.19037559986408,-0.014905344187296296,1,Rapid current change: 0.723A/sample,medium,0,,normal,medium,0,0,0,0,1,0
1762866999.0,2025-11-11T18:46:39+05:30,0.1982,53.33,device2,2025-11-11 18:46:39+05:30,14.328045058205774,-0.014915653769832282,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867011.0,2025-11-11T18:46:51+05:30,0.2812,53.33,device2,2025-11-11 18:46:51+05:30,13.99200081918837,-0.014915945826760365,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867079.0,2025-11-11T18:47:59+05:30,0.0,53.33,device2,2025-11-11 18:47:59+05:30,20.799072114074644,-0.01491002978327325,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867093.0,2025-11-11T18:48:13+05:30,0.1832,53.33,device2,2025-11-11 18:48:13+05:30,12.667582104621319,-0.014917096882533265,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867098.0,2025-11-11T18:48:18+05:30,0.2112,53.33,device2,2025-11-11 18:48:18+05:30,13.330744705887739,-0.014916520526179974,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867319.0,2025-11-11T18:51:59+05:30,0.8862,53.33,device2,2025-11-11 18:51:59+05:30,12.779189589112478,-0.014916999884176243,1,Rapid current change: 0.675A/sample,medium,0,,normal,medium,0,0,0,0,1,0
1762867348.0,2025-11-11T18:52:28+05:30,0.2162,53.33,device2,2025-11-11 18:52:28+05:30,24.426142322123066,-0.014906877487057733,1,Rapid current change: 0.670A/sample,medium,0,,normal,medium,0,0,0,0,1,0
1762867369.0,2025-11-11T18:52:49+05:30,0.0382,53.33,device2,2025-11-11 18:52:49+05:30,20.786479799532415,-0.014910040727286793,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867389.0,2025-11-11T18:53:09+05:30,0.2312,53.33,device2,2025-11-11 18:53:09+05:30,16.860266237768016,-0.014913453009774352,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867392.0,2025-11-11T18:53:12+05:30,0.2002,53.33,device2,2025-11-11 18:53:12+05:30,16.884912550435807,-0.014913431589599473,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867431.0,2025-11-11T18:53:51+05:30,0.1602,53.33,device2,2025-11-11 18:53:51+05:30,14.426671115800314,-0.014915568053667368,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867444.0,2025-11-11T18:54:04+05:30,0.0602,53.33,device2,2025-11-11 18:54:04+05:30,15.930358173914714,-0.014914261195307666,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867448.0,2025-11-11T18:54:08+05:30,0.3022,53.33,device2,2025-11-11 18:54:08+05:30,12.22774087636977,-0.01491747914969649,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867477.0,2025-11-11T18:54:37+05:30,0.0162,53.33,device2,2025-11-11 18:54:37+05:30,18.486505917695276,-0.014912039640610117,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867494.0,2025-11-11T18:54:54+05:30,0.1942,53.33,device2,2025-11-11 18:54:54+05:30,30.243559986328766,-0.014901821554132512,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867498.0,2025-11-11T18:54:58+05:30,0.0452,53.33,device2,2025-11-11 18:54:58+05:30,15.677221334582676,-0.014914481197197583,0,,normal,0,,normal,normal,0,0,0,0,0,0
1762867596.0,2025-11-11T18:56:36+05:30,0.2012,53.33,device2,2025-11-11 18:56:36+05:30,11.800690263604768,-0.014917850300502302,0,,normal,0,,normal,normal,0,0,0,0,0,0
