ts,datetime,current,temperature,device_id,parsed_datetime,recon_error,anomaly_score,anomaly_current,current_anomaly_reason,current_severity,anomaly_temperature,temperature_anomaly_reason,temperature_severity,combined_severity,anomaly_threshold,anomaly_percentile,anomaly_isolation_forest,anomaly_zscore,anomaly_ensemble,anomaly_ensemble_smoothed
5.0,1970-01-01T00:00:05+05:30,0.343,53.33,d3,1970-01-01 00:00:05+05:30,37.991082029758964,-0.014895088162437209,1,Rapid current change: 0.962A/sample,medium,0,,normal,medium,0,0,1,0,1,0
6.0,1970-01-01T00:00:06+05:30,0.841,53.33,d3,1970-01-01 00:00:06+05:30,15.3889915958405,-0.014914731698418272,0,,normal,0,,normal,normal,0,0,0,0,0,0
7.0,1970-01-01T00:00:07+05:30,0.801,53.33,d3,1970-01-01 00:00:07+05:30,17.416844566763352,-0.014912969286091185,0,,normal,0,,normal,normal,0,0,0,0,0,0
8.0,1970-01-01T00:00:08+05:30,0.209,53.33,d3,1970-01-01 00:00:08+05:30,30.118870091332738,-0.014901929922446759,1,Rapid current change: 0.592A/sample,medium,0,,normal,medium,0,0,1,0,1,0
9.0,1970-01-01T00:00:09+05:30,0.937,53.33,d3,1970-01-01 00:00:09+05:30,14.300958487140418,-0.014915677310842123,1,Rapid current change: 0.728A/sample,medium,0,,normal,medium,0,0,1,0,1,0
10.0,1970-01-01T00:00:10+05:30,0.603,53.33,d3,1970-01-01 00:00:10+05:30,19.842981494591488,-0.014910860724134223,0,,normal,0,,normal,normal,0,0,0,0,0,0
11.0,1970-01-01T00:00:11+05:30,0.797,53.33,d3,1970-01-01 00:00:11+05:30,14.18464939262915,-0.014915778395380726,0,,normal,0,,normal,normal,0,0,0,0,0,0
12.0,1970-01-01T00:00:12+05:30,0.866,53.33,d3,1970-01-01 00:00:12+05:30,14.597004003378618,-0.014915420016908747,0,,normal,0,,normal,normal,0,0,0,0,0,0
13.0,1970-01-01T00:00:13+05:30,0.411,53.33,d3,1970-01-01 00:00:13+05:30,24.046885858283712,-0.014907207099843563,0,,normal,0,,normal,normal,0,0,0,0,0,0
14.0,1970-01-01T00:00:14+05:30,0.919,53.33,d3,1970-01-01 00:00:14+05:30,12.618542083054862,-0.014917139503344423,0,,normal,0,,normal,normal,0,0,0,0,0,0
15.0,1970-01-01T00:00:15+05:30,0.317,53.33,d3,1970-01-01 00:00:15+05:30,26.507033677560674,-0.014905068978931782,1,Rapid current change: 0.602A/sample,medium,0,,normal,medium,0,0,0,0,1,0
16.0,1970-01-01T00:00:16+05:30,0.817,53.33,d3,1970-01-01 00:00:16+05:30,13.001526683888603,-0.01491680665042497,0,,normal,0,,normal,normal,0,0,0,0,0,0
17.0,1970-01-01T00:00:17+05:30,0.817,53.33,d3,1970-01-01 00:00:17+05:30,14.83776075973876,-0.014915210774581357,0,,normal,0,,normal,normal,0,0,0,0,0,0
18.0,1970-01-01T00:00:18+05:30,0.589,53.33,d3,1970-01-01 00:00:18+05:30,18.210150019009888,-0.01491227982224532,0,,normal,0,,normal,normal,0,0,0,0,0,0
19.0,1970-01-01T00:00:19+05:30,0.853,53.33,d3,1970-01-01 00:00:19+05:30,12.637898020403995,-0.014917122681048589,0,,normal,0,,normal,normal,0,0,0,0,0,0
20.0,1970-01-01T00:00:20+05:30,0.236,53.33,d3,1970-01-01 00:00:20+05:30,27.83828037682243,-0.014903911988939504,1,Rapid current change: 0.617A/sample,medium,0,,normal,medium,0,0,0,0,1,0
21.0,1970-01-01T00:00:21+05:30,0.0,53.33,d3,1970-01-01 00:00:21+05:30,25.790564174550934,-0.014905691664452967,0,,normal,0,,normal,normal,0,0,0,0,0,0
22.0,1970-01-01T00:00:22+05:30,0.0,53.33,d3,1970-01-01 00:00:22+05:30,20.871424090878726,-0.014909966901980752,0,,normal,0,,normal,normal,0,0,0,0,0,0
23.0,1970-01-01T00:00:23+05:30,0.0,53.33,d3,1970-01-01 00:00:23+05:30,19.453477952353417,-0.014911199242682723,0,,normal,0,,normal,normal,0,0,0,0,0,0
24.0,1970-01-01T00:00:24+05:30,0.0,53.33,d3,1970-01-01 00:00:24+05:30,15.884962854472372,-0.014914300648498661,0,,normal,0,,normal,normal,0,0,0,0,0,0
25.0,1970-01-01T00:00:25+05:30,0.0,53.33,d3,1970-01-01 00:00:25+05:30,15.054052263319763,-0.014915022795069224,0,,normal,0,,normal,normal,0,0,0,0,0,0
26.0,1970-01-01T00:00:26+05:30,0.0,53.33,d3,1970-01-01 00:00:26+05:30,14.857019650818945,-0.01491519403662869,0,,normal,0,,normal,normal,0,0,0,0,0,0
27.0,1970-01-01T00:00:27+05:30,0.0,53.33,d3,1970-01-01 00:00:27+05:30,14.490455992606025,-0.014915512618063911,0,,normal,0,,normal,normal,0,0,0,0,0,0
28.0,1970-01-01T00:00:28+05:30,0.0,53.33,d3,1970-01-01 00:00:28+05:30,14.257656658676128,-0.01491571494457463,0,,normal,0,,normal,normal,0,0,0,0,0,0
29.0,1970-01-01T00:00:29+05:30,0.0,53.33,d3,1970-01-01 00:00:29+05:30,13.039596151740326,-0.014916773564150774,0,,normal,0,,normal,normal,0,0,0,0,0,0
30.0,1970-01-01T00:00:30+05:30,0.0,53.33,d3,1970-01-01 00:00:30+05:30,12.614638982175052,-0.01491714289553962,0,,normal,0,,normal,normal,0,0,0,0,0,0
31.0,1970-01-01T00:00:31+05:30,0.0,55.0,d3,1970-01-01 00:00:31+05:30,12.215322309967242,-0.01491748994270507,0,,normal,0,,normal,normal,0,0,0,0,0,0
32.0,1970-01-01T00:00:32+05:30,0.0,53.33,d3,1970-01-01 00:00:32+05:30,12.725176626817484,-0.01491704682698321,0,,normal,0,,normal,normal,0,0,0,0,0,0
33.0,1970-01-01T00:00:33+05:30,0.0,53.33,d3,1970-01-01 00:00:33+05:30,12.599220174725327,-0.014917156296065548,0,,normal,0,,normal,normal,0,0,0,0,0,0
34.0,1970-01-01T00:00:34+05:30,0.0,55.56,d3,1970-01-01 00:00:34+05:30,12.304968565901264,-0.01491741203090929,0,,normal,0,,normal,normal,0,0,0,0,0,0
35.0,1970-01-01T00:00:35+05:30,0.0,53.33,d3,1970-01-01 00:00:35+05:30,12.812652501159926,-0.014916970801471757,0,,normal,0,,normal,normal,0,0,0,0,0,0
36.0,1970-01-01T00:00:36+05:30,0.0,57.78,d3,1970-01-01 00:00:36+05:30,13.80960935221586,-0.014916104343661914,0,,normal,0,,normal,normal,0,0,0,0,0,0
37.0,1970-01-01T00:00:37+05:30,0.0,55.0,d3,1970-01-01 00:00:37+05:30,12.422158299054924,-0.01491731018100534,0,,normal,0,,normal,normal,0,0,0,0,0,0
38.0,1970-01-01T00:00:38+05:30,0.0,58.89,d3,1970-01-01 00:00:38+05:30,14.559598844912296,-0.014915452525829917,0,,normal,0,,normal,normal,0,0,0,0,0,0
39.0,1970-01-01T00:00:39+05:30,0.0,58.89,d3,1970-01-01 00:00:39+05:30,13.918700092649384,-0.01491600953261374,0,,normal,0,,normal,normal,0,0,0,0,0,0
40.0,1970-01-01T00:00:40+05:30,0.0,53.33,d3,1970-01-01 00:00:40+05:30,13.946481394423202,-0.014915985387811624,0,,normal,0,,normal,normal,0,0,0,0,0,0
41.0,1970-01-01T00:00:41+05:30,0.0,53.33,d3,1970-01-01 00:00:41+05:30,12.577649346009757,-0.014917175043329269,0,,normal,0,,normal,normal,0,0,0,0,0,0
42.0,1970-01-01T00:00:42+05:30,0.0,53.33,d3,1970-01-01 00:00:42+05:30,12.576402113940025,-0.014917176127301927,0,,normal,0,,normal,normal,0,0,0,0,0,0
43.0,1970-01-01T00:00:43+05:30,0.0,56.67,d3,1970-01-01 00:00:43+05:30,12.824284828240138,-0.014916960691785833,0,,normal,0,,normal,normal,0,0,0,0,0,0
44.0,1970-01-01T00:00:44+05:30,0.0,56.11,d3,1970-01-01 00:00:44+05:30,12.191465958308992,-0.014917510676322764,0,,normal,0,,normal,normal,0,0,0,0,0,0
45.0,1970-01-01T00:00:45+05:30,0.0,53.33,d3,1970-01-01 00:00:45+05:30,12.925550842924977,-0.0149168726812273,0,,normal,0,,normal,normal,0,0,0,0,0,0
46.0,1970-01-01T00:00:46+05:30,0.0,53.33,d3,1970-01-01 00:00:46+05:30,12.581670281685305,-0.014917171548723544,0,,normal,0,,normal,normal,0,0,0,0,0,0
47.0,1970-01-01T00:00:47+05:30,0.0,53.33,d3,1970-01-01 00:00:47+05:30,12.581670281685305,-0.014917171548723544,0,,normal,0,,normal,normal,0,0,0,0,0,0
48.0,1970-01-01T00:00:48+05:30,0.0,53.33,d3,1970-01-01 00:00:48+05:30,12.591236262815743,-0.014917163234904295,0,,normal,0,,normal,normal,0,0,0,0,0,0
49.0,1970-01-01T00:00:49+05:30,0.0,53.33,d3,1970-01-01 00:00:49+05:30,12.614638982175052,-0.01491714289553962,0,,normal,0,,normal,normal,0,0,0,0,0,0
50.0,1970-01-01T00:00:50+05:30,0.0,53.33,d3,1970-01-01 00:00:50+05:30,12.614638982175052,-0.01491714289553962,0,,normal,0,,normal,normal,0,0,0,0,0,0
51.0,1970-01-01T00:00:51+05:30,0.0,53.33,d3,1970-01-01 00:00:51+05:30,12.614638982175052,-0.01491714289553962,0,,normal,0,,normal,normal,0,0,0,0,0,0
52.0,1970-01-01T00:00:52+05:30,0.0,53.33,d3,1970-01-01 00:00:52+05:30,12.614638982175052,-0.01491714289553962,0,,normal,0,,normal,normal,0,0,0,0,0,0
53.0,1970-01-01T00:00:53+05:30,0.0,53.33,d3,1970-01-01 00:00:53+05:30,12.614638982175052,-0.01491714289553962,0,,normal,0,,normal,normal,0,0,0,0,0,0
54.0,1970-01-01T00:00:54+05:30,0.0,57.78,d3,1970-01-01 00:00:54+05:30,13.812874012125436,-0.014916101506337438,0,,normal,0,,normal,normal,0,0,0,0,0,0
55.0,1970-01-01T00:00:55+05:30,0.0,53.33,d3,1970-01-01 00:00:55+05:30,13.456281917090134,-0.01491641142146099,0,,normal,0,,normal,normal,0,0,0,0,0,0
